"# 文本key","文本value"
"Murmum_60000_1","Not bad,I bet you can unify the martial arts world."
"Murmum_60001_1","Haha,I just invented it. Didn’t expect there would be a side effect. I’ll find you when I fix this."
"Murmum_60002_1","……"
"Murmum_60003_1","Humph! Don’t say I didn’t warn you!"
"Murmum_60004_1","Good day,sir! May you live a long and healthy life!"
"Murmum_60005_1","I’m too kind to see children poorer than me..."
"Murmum_60006_1","You made me cry! Time to say goodbye!"
"Murmum_60007_1","Thanks Bodhisattva!!"
"Murmum_60008_1","The cold wind is howling. The white snow is falling..."
"Murmum_60009_1","How did I meet a blind person..."
"Murmum_60010_1","Two healthy legs are way more important! Does my wisdom dwarf yours? Ahahaha!"
"Murmum_60011_1","Even the most powerful one can be hurt by gossips and backstabbing,right? ?"
"Murmum_60012_1","A man of morality values righteousness,while the despicable eye silver and gold. The people who are merely profit-driven will eventually turn against you."
"Murmum_60013_1","We’re two of the same kind! !"
"Murmum_60014_1","This is what we call love,ahaha!"
"Murmum_60015_1","I made 38 couples get married! I did a quite good job,didn’t I?"
"Murmum_60016_1","……"
"Murmum_60017_1","Thank you for saving me! Here is a pill handed down from our ancestors. Please take it,warrior."
"Murmum_60018_1","My leg is broken! Give me 1000 coins! Or I’ll find the seniors and accuse you of bullying me! !!"
"Murmum_60019_1","……"
"Murmum_60020_1","Ah,the business isn’t going well these days..."
"Murmum_60021_1","You’re seriously ill. I suggest you go to the Clinic at [Flora Valley] later on. Here is a [Marrow Refining Pill]. It can help you heal some of the ailments!"
"Murmum_60022_1","Oh,I thought you’re a freshman."
"Murmum_60023_1","Haha,you’re not stupid,huh? Bye."
"Murmum_60024_1","I must teach you a lesson! !"
"Murmum_60025_1","Good! From this day on,we resolve to band together to face whatever lies ahead!"
"Murmum_60026_1","Humph! Don’t say I didn’t warn you!"
"Murmum_60027_1","Nice!"
"Murmum_60028_1","Humph!"
"Murmum_60029_1","Put this on. You need to keep warm. You can’t catch a cold in this state."
"Murmum_60030_1","You ask for this. Goodbye and never see you again."
"Murmum_60031_1","Build the residence to shelter yourself from the cold and restore Vigor in it!"
"Murmum_60032_1","Having a hot spring bath,taking a sip of tea at the teahouse,or listening to melodies at the Music House will cheer you up!"
"Murmum_60033_1","Really? Many thanks! Ahaha,I promise I’ll share it with you when I master it. !!"
"Murmum_60034_1","It’s said the skill in this manual is the most powerful one in this world. Don’t you want to have a look at it? !"
"Murmum_60035_1","That stone lies on the Dragonhead in Longting. Find a way to get there on your own!"
"Murmum_60036_1","Believe it or not,it’s up to you!"
"Murmum_60037_1","Here,here,let me mark a location for you. Go look over there."
"Murmum_60038_1","Is there anyone who isn’t interested in treasure chest? !"
"Murmum_60039_1","Interact with others and click [Skills] to view."
"Murmum_60040_1","Bye!"
"Murmum_60041_1","I marked a location for you. Go have a look."
"Murmum_60042_1","I bumped into a pervert?"
"Murmum_61000_1","Your teachings on {0} are truly remarkable. I'm truly grateful. "
"Murmum_61000_2","Thank you for teaching me {0}. I'll make sure to repay your favor. "
"Murmum_61000_3","Thank you for showing me the ropes with {0}. Without you I'd still be lost."
"Murmum_61000_4","{0}! I'll make every effort to practice this martial art. Thanks a million! ! !"
"Murmum_61000_5","Wow, it's {0}! That's a real treat. My thanks may never do it justice. "
"Murmum_61001_1","Spend more time practicing the {0}. It might help you out of danger one day! ! !"
"Murmum_61001_2","The Skill is well and good, but true mastery comes only with diligent practice."
"Murmum_61001_3","Your kungfu skills outshine many, but your willpower must not wane. Train with diligence, lest arrogance prevails."
"Murmum_61001_4","The sole key to mastery lies in diligence. Practice hard, and you'll rise to greatness."
"Murmum_61001_5","A prized technique cannot be mastered without diligence. Hone your gift with practice, and you'll be rewarded."
"Murmum_61003_1","Please wait, {0}! There's a favor I'd like to ask of you! ! !"
"Murmum_61003_2","Wait, {0}! There's something you need to know!"
"Murmum_61003_3","Hold on, {0}. There's something I wish to discuss."
"Murmum_61003_4","Wait, {0}! Hear me out!"
"Murmum_61003_5","Please wait, {0}. I have urgent news to share."
"Murmum_61004_1","By heaven and earth, I love only you!"
"Murmum_61004_2","I need nothing else but you. Let us grow old together, till death do us part.  "
"Murmum_61004_3","My love runs deep as the sea. I entrust myself to you, till our hairs turn grey."
"Murmum_61004_4","May the heaven and earth bear witness, I love you through life and death."
"Murmum_61004_5","From this day forward, I pledge to stay by your side till the end of our lives."
"Murmum_61005","C’mon,{0}! Follow me!"
"Murmum_61006_1","Where are [#1you] taking me?"
"Murmum_61006_2","Where are [#1you] going?"
"Murmum_61006_3","Where exactly do [#1you] want to go? What's the matter?"
"Murmum_61006_4","Where are [#1you] headed?"
"Murmum_61006_5","? ? ?"
"Murmum_61007_1","Help! My house is burning to the ground!"
"Murmum_61007_2","Fire! Help!!!"
"Murmum_61007_3","Who set the fire?! Murderer!!"
"Murmum_61007_4","Oh wow, what a bonfire. It'd be a disservice if we don't have some barbeque!"
"Murmum_61007_5","Seize the arsonist! Burn them to ashes, let them feel our wrath!"
"Murmum_61008_1","Cheers! !!"
"Murmum_61008_2","Drink up!"
"Murmum_61008_3","Ah,that’s a good wine! !!"
"Murmum_61008_4","Nothing lifts the spirits like a good ol' drink!"
"Murmum_61008_5","Life is short, let's make merry! Raise a glass, say bye to your worries!"
"Murmum_61008_6","Life is harsh. Only this flask offers some solace. "
"Murmum_61008_7","Life is fleeting, have fun when you can! Here's to my health!"
"Murmum_61008_8","Life is fleeting, time to have fun! "
"Murmum_61008_9","Life doesn't always go as planned. Better find joy when you can than dwell on woes! "
"Murmum_61008_10","Life is but a dream, toil and labor won't endure. Seize the moment, with a glass of wine. Release the burdens of earthly confine."
"Murmum_61008_11","Life is a dream, joy makes it sweet. A glass of fine wine, makes the moment shine."
"Murmum_61008_12","Life and death are predestined, so are riches and fame. Embrace the joy of the moment, lest youth goes to waste."
"Murmum_61008_13","Alas, the many autumns that have gone by. How the world ages!"
"Murmum_61008_14","What peace and happiness. What more can the seasons bring?"
"Murmum_61008_15","Flowers come and go, the moon waxes and wanes. This life won't repeat, so let's drink to the heart's content."
"Murmum_61008_16","The river flows, carrying memories of heroes. Life is a leaf adrift, caught in the draught of death. Here's to health, to joy in the moment. "
"Murmum_61009_1","Damned beggar, get out!"
"Murmum_61009_2","Get lost! You worthless piece of trash!"
"Murmum_61009_3","Get out! Lazybones!"
"Murmum_61009_4","Get lost! Don't get in the way!"
"Murmum_61009_5","What a nuisance! Get lost! !"
"Murmum_61010_1","Shoo! Move your ass somewhere else!"
"Murmum_61010_2","What a bother! Move out of the way!"
"Murmum_61010_3","Have you no shame? Get lost!"
"Murmum_61010_4","I don't have a shred of pity for you."
"Murmum_61010_5","You're annoying as a fly. Stay away from me!"
"Murmum_61011_1","I'm sorry, I don't have anything to give you."
"Murmum_61011_2","I'm sorry, but I don't have any money right now. "
"Murmum_61011_3","I would have spared you some change, but I'm afraid I'm also penniless."
"Murmum_61011_4","I wish I could help. Perhaps you should ask someone else."
"Murmum_61011_5","I don't have any money left. You can ask someone else."
"Murmum_61012_1","Good day, master! ! !"
"Murmum_61012_2","Greetings, Master!"
"Murmum_61012_3","Greetings, shifu!"
"Murmum_61012_4","Greetings, Master!"
"Murmum_61012_5","Greetings master! !"
"Murmum_61013_1","Greetings, Champion! ! !"
"Murmum_61013_2","Long live the Champion! "
"Murmum_61013_3","All hail the Champion! "
"Murmum_61013_4","The Champion is the best! "
"Murmum_61013_5","All hail the Champion!"
"Murmum_61013_6","Greetings, Master!"
"Murmum_61013_7","Greetings, Master!"
"Murmum_61013_8","Greetings, Champion!"
"Murmum_61013_9","Greetings, Master! What an honor!"
"Murmum_61013_10","Long live the Champion! ! !"
"Murmum_61013_11","The Champion is the best!"
"Murmum_61013_12","The one and only Champion!"
"Murmum_61013_13","Greetings, Champion!"
"Murmum_61013_14","Greetings, Champion!"
"Murmum_61014_1","You've breached Sect Rules, and I'm here to arrest you. Surrender now! ! !"
"Murmum_61014_2","Those who violate Sect Rules shall be punished! "
"Murmum_61014_3","Those who disregard Sect Rules shall be disciplined!   "
"Murmum_61014_4","You've breached Sect Rules. There's no pardon! "
"Murmum_61014_5","Surrender! You've breached Sect Rules. There's no escaping punishment!"
"Murmum_61015_1","What goes around comes around. Someone has hired me to teach you a lesson!"
"Murmum_61015_2","I'm told to teach you a lesson, wretch!"
"Murmum_61015_3","I'm entrusted to teach you a lesson! "
"Murmum_61015_4","I'm told to teach you a lesson, scoundrel!"
"Murmum_61015_5","I'm told to teach you a lesson. Don't stir up trouble again!"
"Murmum_61016_1","Thief! You dare sneak up on me? I'm gonna let you pay!"
"Murmum_61016_2","You scumbag, I'm gonna take you down!"
"Murmum_61016_3","You rotten scum, I'm gonna tear you apart! "
"Murmum_61016_4","Sneaking on me? You coward! I'm gonna rip you to bits!  "
"Murmum_61016_5","Sneaking on me? Your days are numbered!"
"Murmum_61017_1","Don't you dare run, thief! You're just asking for a beating!"
"Murmum_61017_2","Filthy thief, sneaking before me? You're gonna pay!"
"Murmum_61017_3","To hell, wretched thief!"
"Murmum_61017_4","Stealing before me? You're asking for trouble!"
"Murmum_61017_5","I've had my eyes on you for a while, thief. Prepare to meet your end! "
"Murmum_61018_1","You monster! How dare you slaughter the innocent! "
"Murmum_61018_2","You killed the innocent! You monster! "
"Murmum_61018_3","You'll pay dearly for those innocent lives, you fiend! "
"Murmum_61018_4","Are you even human? You fiend!"
"Murmum_61018_5","What a heinous act of slaughter! You fiend!"
"Murmum_61019_1","I'm ending your atrocities, once and for all!"
"Murmum_61019_2","I can't bear to witness your vile deeds!  "
"Murmum_61019_3","How dare you commit such heinous deeds, you scoundrel? You deserve a most terrible death! "
"Murmum_61019_4","What an appalling crime! You scum!"
"Murmum_61019_5","Your sins are unforgivable, you monster!"
"Murmum_61020_1","You annoying scum! I've had enough. You're gonna get pummeled!"
"Murmum_61020_2","You again, scum!  "
"Murmum_61020_3","Oh, it's that detestable face again! "
"Murmum_61020_4","You nuisance! Just looking at you makes me puke!"
"Murmum_61020_5","You're disgusting! "
"Murmum_61021","Don't make a scene! Hand over your belongings, and your life shall be spared! !"
"Murmum_61022_1","Think you can lay a hand on me, wretch? You're asking for trouble! "
"Murmum_61022_2","You dare provoke me, thug! You don't know what you're up against!"
"Murmum_61022_3","You want to provoke me, you fool? You're digging your own grave!"
"Murmum_61022_4","You dare provoke me? You're too full of yourself!"
"Murmum_61022_5","You dare provoke me, loser? You must have a death wish!"
"Murmum_61023_1","This hatred is an incurable poison burning in my soul. Today, you shall feel my wrath!"
"Murmum_61023_2","I'm determined to settle this blood debt today, once and for all!"
"Murmum_61023_3","Time to settle the score between us! "
"Murmum_61023_4","I'm having your life, hateful wretch! !"
"Murmum_61023_5","It's a fight to the death between you and me! ! !"
"Murmum_61024","Hum? ...I can't find {0} nearby..."
"Murmum_61025_1","Ow, I really want to go to {0}, but I'm short of cash now..."
"Murmum_61025_2","I'm interested in {0}, but I don't have that much money to spare. Sigh."
"Murmum_61025_3","I heard {0} is real good, but I'm on a tight budget."
"Murmum_61025_4","I really want to go to {0}, but I'm short on cash."
"Murmum_61025_5","I wonder if anyone would be kind enough to take me to {0}..."
"Murmum_61026","Scat! You're not allowed to enter! ! !"
"Murmum_61027","Come in! What do you need?"
"Murmum_61028","It's late. I'm going to bed!"
"Murmum_61029","Looks like [#1you] are occupied. I'll drop by later."
"Murmum_61030","I can only drop you here."
"Murmum_61031","Bastard! Gotta stay alive! Run for it! !"
"Murmum_61032","I don't wanna go. So be it! ! !"
"Murmum_61033","Chatter! Chatter chatter! ! ! (Monkey sounds)"
"Murmum_61034","(There's no one in the room...)"
"Murmum_61035","Take Head! !"
"Murmum_61036_1","What's this filthy mutt doing here, messing up my place?"
"Murmum_61036_2","Who do you think you are, dragging your ass around here?"
"Murmum_61036_3","You got the guts to think it's a place for you!"
"Murmum_70001_1","Thank you for participating in the Kungfu Contest,my friends! In this world,we worship the power of martial arts. Only the invincible one can be the revered Champion."
"Murmum_70002_1","When will it begin?"
"Murmum_70003_1","Agree!"
"Murmum_70003_2","Let’s get started. I can’t wait any more!"
"Murmum_70003_3","I’m gonna be the one and only Champion!!"
"Murmum_70003_4","Together,we dominate the martial arts world!"
"Murmum_70003_5","Duel!!"
"Murmum_70004_1","Nice punch!"
"Murmum_70004_2","Impressive!"
"Murmum_70004_3","Niiiccce!"
"Murmum_70004_4","There’s nothing special with their kungfu."
"Murmum_70004_5","That move is so quick!"
"Murmum_70005_1","When will next fight begin? Hurry up!"
"Murmum_70006_1","Who's the next! ! ! !"
"Murmum_70007_1","I shouldn’t underrate you!"
"Murmum_70007_2","I’m no match for you. You’ve earned my respect."
"Murmum_70007_3","Dirty tricks! I’ll let you pay! !"
"Murmum_70007_4","Your kungfu is truly remarkable. I lost."
"Murmum_70008_1","Pleased to meet you!"
"Murmum_70008_2","Pleased to meet you,too!"
"Murmum_70008_3","Give up before it’s not too late!"
"Murmum_70008_4","You’re no match for me!"
"Murmum_70008_5","I’ll show no mercy!"
"Murmum_70009_1","The matchup for this round is {0} vs. {1}. "
"Murmum_70010_1","It’s my turn."
"Murmum_70011_1","The Champion of this Kungfu Contest is:"
"Murmum_70012_1","Congrats!"
"Murmum_70012_2","With your invincible martial arts,you’ve earned our respect! !"
"Murmum_70012_3","Long live the Champion!!"
"Murmum_70012_4","The one above all!!"
"Murmum_70013_1","<GuideRed>{0}</> days till the Kungfu Contest."
"Murmum_80000","[Thinking of the relations between you two...]"
"Murmum_80001","[Thinking of the attitude toward you...]"
"Murmum_80002","{0}, unable to learn 「{1}」"
"Murmum_90000","Since everyone is here,let’s hold a meeting. "
"Murmum_90001_0","Good day,master!"
"Murmum_90001_1","Greetings master!"
"Murmum_90002_0","Good! No one broke the rules!"
"Murmum_90002_1","I’m glad to see you behave well!"
"Murmum_90003_0","Thank you for your teachings,Master!"
"Murmum_90003_1","We obey whatever you ask,Master!"
"Murmum_90004_0","Let them be punished according to the rules!"
"Murmum_90004_1","You disappointed me! All shall be punished harshly!"
"Murmum_90005","Time to get your salary!"
"Murmum_90006","{0} made the most contribution this month. Keep going,everyone!"
"Murmum_90007","Thank you for your instruction,Master! I’m flattered!"
"Murmum_90008","Thank you,Master!"
"Murmum_90009","*Sigh*... Thank you... Master..."
"Murmum_90010","It would be a tough month..."
"Murmum_90011","Hope everyone can work harder to bring greatness to our sect!"
"Murmum_90012_0","Yes,Master! We will!"
"Murmum_90012_1","We obey whatever you ask,Master!"
"Murmum_90100","[Unable to challenge. Higher level required]:You’re not qualified to challenge me"
"Murmum_90101","I’m no match for you,I admit!"
"Murmum_90102","Is that all you can do?"
"Murmum_100000","That's more than what I have in mind. I'll quit."
"Murmum_100001","Tough luck! Didn't bring enough cash! !"
"Murmum_100002","I'm bidding {0}. I've got to have this! !"
"Murmum_100003","I'll up the ante. I'm bidding {0}."
"Murmum_100004","I'm not interested."
"Murmum_100005","Since [#1you] want it that bad, I'll have to part with it."
"Murmum_100006","I'm sorry. It's too dear to me."
"Murmum_100007","I'm afraid I can't honor your request! !"
"Murmum_100008","I'd give up"
"Murmum_100009","Who do you think you are, throwing threats at me? !"
